,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2019-11-29,314.31,161.77,205.1,56.39,59.43,42.54,68.18,47.94,93.2,15.23,137.86,84.77,111.57,140.42,127.97,86.94,112.86
2019-12-31,321.86,165.67,212.61,58.6,59.24,44.87,69.44,49.12,93.08,16.21,142.9,84.63,110.22,135.48,127.96,87.94,112.37
2020-01-31,321.73,160.53,219.07,56.79,57.75,42.11,67.48,47.44,94.57,14.49,149.33,85.12,114.04,145.9,131.09,87.53,114.65
2020-02-28,296.26,146.33,205.8,52.27,52.96,40.52,62.24,44.28,87.4,13.36,148.38,85.73,117.26,155.31,132.18,86.04,116.22
2020-03-31,257.75,114.46,190.4,43.28,49.39,34.13,53.46,37.65,69.57,9.3,148.05,86.67,121.48,164.97,123.51,77.07,115.37
2020-04-30,290.48,130.31,218.91,46.07,51.76,36.64,56.57,40.05,76.05,8.48,158.8,86.8,121.67,166.74,129.17,80.43,117.1
2020-05-29,304.32,138.9,233.36,48.76,55.41,37.73,59.64,41.89,77.42,9.82,162.91,86.66,121.94,163.59,132.02,82.42,117.65
2020-06-30,308.36,143.18,247.6,50.33,54.92,39.99,60.87,43.24,78.81,10.37,167.37,86.61,121.87,163.93,134.5,81.62,118.21
2020-07-31,326.52,147.36,265.79,52.17,54.33,43.29,62.05,44.98,82.06,10.75,185.43,86.63,122.8,171.0,138.35,85.39,119.56
2020-08-31,349.31,155.43,294.88,54.42,58.02,44.54,64.98,46.85,82.25,11.25,184.83,86.56,121.51,162.19,135.6,85.03,118.37
2020-09-30,334.89,149.79,277.84,52.43,59.07,44.09,63.65,45.99,79.84,10.75,177.12,86.51,121.82,163.26,134.71,83.9,118.06
2020-10-30,326.54,153.09,269.38,49.59,58.24,44.71,61.39,45.05,77.51,10.38,176.2,86.43,120.06,157.57,133.73,83.88,117.2
2020-11-30,362.06,181.02,299.62,57.72,64.39,48.73,70.15,50.73,84.16,11.65,166.67,86.41,120.39,160.02,138.48,86.32,118.42
2020-12-31,373.88,196.06,313.74,60.24,67.56,51.67,72.96,53.04,85.65,12.33,178.36,86.38,119.95,157.73,138.13,87.3,118.19
2021-01-29,370.07,205.56,314.56,59.7,66.99,53.31,72.39,53.19,85.28,12.91,172.61,86.4,118.64,152.0,135.6,86.97,117.31
2021-02-26,380.36,218.31,314.14,61.24,68.22,53.73,74.01,54.24,87.35,14.24,161.81,86.32,115.76,143.12,132.27,86.44,115.34
2021-03-31,396.33,220.94,319.13,63.0,68.52,53.34,75.87,55.18,91.94,13.97,159.96,86.25,112.93,135.45,130.05,87.18,113.83
2021-04-30,417.3,224.89,337.99,66.01,67.42,53.98,78.11,56.59,99.19,15.1,165.66,86.28,113.99,138.64,131.15,87.44,114.49
2021-05-31,420.04,225.5,333.93,68.95,68.58,54.87,80.83,58.34,100.19,15.46,178.38,86.32,114.4,138.44,131.71,87.18,114.55
2021-06-30,428.06,229.37,354.43,67.26,67.54,55.15,78.88,57.51,101.94,16.09,165.63,86.16,115.49,144.35,134.36,88.04,115.33
2021-07-30,438.51,221.05,364.57,68.51,67.11,51.6,79.49,56.56,106.72,16.3,169.82,86.285,117.71,149.52,136.01,87.84,116.46
2021-08-31,451.56,225.92,379.95,69.75,68.4,52.41,80.64,57.38,108.79,15.91,169.69,86.25,117.17,148.83,135.3,88.09,116.06
2021-09-30,429.14,218.75,357.96,65.61,70.25,50.38,78.01,55.41,102.39,16.86,164.22,86.15,115.22,144.32,133.03,87.49,114.83
2021-10-29,459.25,228.05,386.11,68.91,68.4,50.92,80.49,57.07,109.84,17.85,166.65,85.85,114.63,147.69,133.48,86.93,114.64
2021-11-30,455.56,218.17,393.82,65.54,66.33,48.84,76.84,54.68,107.19,15.96,165.5,85.79,115.8,151.59,133.06,85.64,114.77
2021-12-31,474.96,222.45,397.85,68.24,66.96,48.85,78.68,55.6,116.14,17.11,170.96,85.54,115.0,148.19,132.52,87.01,114.08
2022-01-31,449.91,201.24,363.05,65.8,64.08,48.84,75.82,54.18,106.58,19.12,168.09,84.95,112.57,142.39,127.76,84.7,111.8
2022-02-28,436.63,203.32,346.8,62.32,62.94,46.73,73.22,52.37,101.69,20.81,178.38,84.56,112.12,139.87,124.8,83.67,110.36
2022-03-31,451.64,205.27,362.54,62.28,61.61,45.15,73.6,52.27,108.22,22.65,180.65,83.35,107.47,132.08,120.94,82.29,107.1
2022-04-29,412.0,184.95,313.25,58.39,56.62,42.38,68.64,48.77,103.75,23.68,176.91,82.9,102.81,119.45,112.6,78.53,102.87
2022-05-31,412.93,185.31,308.28,59.8,57.6,42.64,70.01,49.65,99.14,25.04,171.14,83.35,103.32,116.56,114.44,79.5,103.47
2022-06-30,377.25,169.36,280.28,52.82,52.83,40.1,62.49,45.0,91.98,23.1,168.46,82.79,102.3,114.87,110.03,73.61,101.68
2022-07-29,411.99,187.25,315.46,55.46,56.15,39.96,65.72,46.52,100.13,22.93,164.1,83.05,105.17,117.43,114.61,78.19,104.07
2022-08-31,395.18,183.5,299.27,51.32,53.59,39.43,61.7,44.27,94.26,22.25,159.27,82.29,100.94,111.88,109.27,74.53,100.71
2022-09-30,357.18,164.92,267.26,46.15,48.85,34.88,56.01,40.01,81.42,20.58,154.67,81.21,95.99,102.45,102.45,71.39,96.34
